geoid,Region,State,age,season,MMWR Year/Week,Deaths from pneumonia and influenza,All Deaths
National,,,All,2009-10,200940,3641,46519
National,,,All,2009-10,200941,3891,46582
National,,,All,2009-10,200942,4088,47581
National,,,All,2009-10,200943,4070,46573
National,,,All,2009-10,200944,4165,47467
National,,,All,2009-10,200945,4205,47429
National,,,All,2009-10,200946,3938,46629
National,,,All,2009-10,200947,3841,46526
National,,,All,2009-10,200948,3912,47905
National,,,All,2009-10,200949,4089,49392
National,,,All,2009-10,200950,4083,49216
National,,,All,2009-10,200951,3905,49213
National,,,All,2009-10,200952,4372,49833
National,,,All,2009-10,201001,4501,51474
National,,,All,2009-10,201002,4533,51453
National,,,All,2009-10,201003,4351,49996
National,,,All,2009-10,201004,4110,48509
National,,,All,2009-10,201005,4116,49127
National,,,All,2009-10,201006,4170,50182
National,,,All,2009-10,201007,4262,50532
National,,,All,2009-10,201008,4327,50227
National,,,All,2009-10,201009,4373,50389
National,,,All,2009-10,201010,4414,50268
National,,,All,2009-10,201011,4269,49355
National,,,All,2009-10,201012,4117,48346
National,,,All,2009-10,201013,4020,48873
National,,,All,2009-10,201014,4002,47820
National,,,All,2009-10,201015,3743,47134
National,,,All,2009-10,201016,3582,46653
National,,,All,2009-10,201017,3617,46361
National,,,All,2009-10,201018,3544,46315
National,,,All,2009-10,201019,3471,46398
National,,,All,2009-10,201020,3420,45593
National,,,All,2009-10,201021,3260,45567
National,,,All,2009-10,201022,3257,45234
National,,,All,2009-10,201023,3314,45026
National,,,All,2009-10,201024,3179,45197
National,,,All,2009-10,201025,3149,44703
National,,,All,2009-10,201026,3155,44730
National,,,All,2009-10,201027,3223,45657
National,,,All,2009-10,201028,3127,44927
National,,,All,2009-10,201029,3097,44694
National,,,All,2009-10,201030,2967,44350
National,,,All,2009-10,201031,3034,44793
National,,,All,2009-10,201032,2936,44469
National,,,All,2009-10,201033,3019,44461
National,,,All,2009-10,201034,2904,44400
National,,,All,2009-10,201035,3059,44406
National,,,All,2009-10,201036,3178,44913
National,,,All,2009-10,201037,3202,45301
National,,,All,2009-10,201038,3108,45165
National,,,All,2009-10,201039,3228,45357
National,,,All,2010-11,201040,3268,46636
National,,,All,2010-11,201041,3473,46617
National,,,All,2010-11,201042,3435,47142
National,,,All,2010-11,201043,3508,46620
National,,,All,2010-11,201044,3510,47490
National,,,All,2010-11,201045,3618,48474
National,,,All,2010-11,201046,3558,48186
National,,,All,2010-11,201047,3626,47812
National,,,All,2010-11,201048,3873,48954
National,,,All,2010-11,201049,3851,50365
National,,,All,2010-11,201050,4052,51290
National,,,All,2010-11,201051,4125,50928
National,,,All,2010-11,201052,4611,52807
National,,,All,2010-11,201101,4870,53608
National,,,All,2010-11,201102,4791,52850
National,,,All,2010-11,201103,4782,52597
National,,,All,2010-11,201104,4908,52455
National,,,All,2010-11,201105,4811,52201
National,,,All,2010-11,201106,4905,52927
National,,,All,2010-11,201107,5162,53560
National,,,All,2010-11,201108,5186,52444
National,,,All,2010-11,201109,5005,52343
National,,,All,2010-11,201110,4892,51830
National,,,All,2010-11,201111,4648,50859
National,,,All,2010-11,201112,4433,49874
National,,,All,2010-11,201113,4269,49504
National,,,All,2010-11,201114,4140,49860
National,,,All,2010-11,201115,4012,48342
National,,,All,2010-11,201116,3928,48019
National,,,All,2010-11,201117,3709,47592
National,,,All,2010-11,201118,3767,47445
National,,,All,2010-11,201119,3742,47544
National,,,All,2010-11,201120,3587,46690
National,,,All,2010-11,201121,3555,46662
National,,,All,2010-11,201122,3503,46317
National,,,All,2010-11,201123,3465,46594
National,,,All,2010-11,201124,3346,46059
National,,,All,2010-11,201125,3338,45804
National,,,All,2010-11,201126,3351,46030
National,,,All,2010-11,201127,3194,45759
National,,,All,2010-11,201128,3151,45380
National,,,All,2010-11,201129,3193,45774
National,,,All,2010-11,201130,3000,45068
National,,,All,2010-11,201131,3003,45766
National,,,All,2010-11,201132,3032,45366
National,,,All,2010-11,201133,2982,45079
National,,,All,2010-11,201134,3075,45006
National,,,All,2010-11,201135,3079,45606
National,,,All,2010-11,201136,3005,45206
National,,,All,2010-11,201137,3044,45145
National,,,All,2010-11,201138,3212,46117
National,,,All,2010-11,201139,3168,45441
National,,,All,2011-12,201140,3263,46853
National,,,All,2011-12,201141,3411,46877
National,,,All,2011-12,201142,3330,47007
National,,,All,2011-12,201143,3388,47161
National,,,All,2011-12,201144,3505,48244
National,,,All,2011-12,201145,3677,48759
National,,,All,2011-12,201146,3647,48205
National,,,All,2011-12,201147,3570,47400
National,,,All,2011-12,201148,3663,47740
National,,,All,2011-12,201149,3762,48960
National,,,All,2011-12,201150,3862,49217
National,,,All,2011-12,201151,3845,49499
National,,,All,2011-12,201152,3996,50089
National,,,All,2011-12,201201,4370,51630
National,,,All,2011-12,201202,4269,51171
National,,,All,2011-12,201203,4283,51088
National,,,All,2011-12,201204,4243,50238
National,,,All,2011-12,201205,4038,49642
National,,,All,2011-12,201206,4046,49912
National,,,All,2011-12,201207,4148,50720
National,,,All,2011-12,201208,4224,50950
National,,,All,2011-12,201209,4281,50942
National,,,All,2011-12,201210,4410,50828
National,,,All,2011-12,201211,4362,50844
National,,,All,2011-12,201212,4122,49361
National,,,All,2011-12,201213,3857,48363
National,,,All,2011-12,201214,3878,48443
National,,,All,2011-12,201215,3784,49119
National,,,All,2011-12,201216,3734,48946
National,,,All,2011-12,201217,3615,48173
National,,,All,2011-12,201218,3560,47834
National,,,All,2011-12,201219,3348,46782
National,,,All,2011-12,201220,3351,47054
National,,,All,2011-12,201221,3309,46809
National,,,All,2011-12,201222,3152,46099
National,,,All,2011-12,201223,3084,46419
National,,,All,2011-12,201224,3162,46865
National,,,All,2011-12,201225,3154,46199
National,,,All,2011-12,201226,3165,46152
National,,,All,2011-12,201227,3014,46783
National,,,All,2011-12,201228,3044,46012
National,,,All,2011-12,201229,3020,46016
National,,,All,2011-12,201230,2891,45729
National,,,All,2011-12,201231,3043,45987
National,,,All,2011-12,201232,3049,46402
National,,,All,2011-12,201233,3027,45967
National,,,All,2011-12,201234,2972,46257
National,,,All,2011-12,201235,3026,46391
National,,,All,2011-12,201236,3114,46744
National,,,All,2011-12,201237,3167,46396
National,,,All,2011-12,201238,3123,46489
National,,,All,2011-12,201239,3224,47523
National,,,All,2012-13,201240,3223,47995
National,,,All,2012-13,201241,3330,48131
National,,,All,2012-13,201242,3390,48831
National,,,All,2012-13,201243,3388,47811
National,,,All,2012-13,201244,3358,49035
National,,,All,2012-13,201245,3450,50087
National,,,All,2012-13,201246,3520,49825
National,,,All,2012-13,201247,3456,49491
National,,,All,2012-13,201248,3847,50732
National,,,All,2012-13,201249,4008,51882
National,,,All,2012-13,201250,4062,51452
National,,,All,2012-13,201251,4365,52830
National,,,All,2012-13,201252,4946,55027
National,,,All,2012-13,201301,6030,59284
National,,,All,2012-13,201302,6735,60946
National,,,All,2012-13,201303,6576,59203
National,,,All,2012-13,201304,6152,57893
National,,,All,2012-13,201305,5684,56403
National,,,All,2012-13,201306,5296,55747
National,,,All,2012-13,201307,5098,54472
National,,,All,2012-13,201308,4748,53525
National,,,All,2012-13,201309,4637,53096
National,,,All,2012-13,201310,4523,53368
National,,,All,2012-13,201311,4514,53077
National,,,All,2012-13,201312,4275,52138
National,,,All,2012-13,201313,4236,51845
National,,,All,2012-13,201314,4107,51380
National,,,All,2012-13,201315,3973,50878
National,,,All,2012-13,201316,3848,49561
National,,,All,2012-13,201317,3614,48383
National,,,All,2012-13,201318,3518,48403
National,,,All,2012-13,201319,3406,47956
National,,,All,2012-13,201320,3320,47406
National,,,All,2012-13,201321,3261,47336
National,,,All,2012-13,201322,3043,46646
National,,,All,2012-13,201323,3354,47040
National,,,All,2012-13,201324,3283,46614
National,,,All,2012-13,201325,3131,46500
National,,,All,2012-13,201326,3065,46453
National,,,All,2012-13,201327,2987,46726
National,,,All,2012-13,201328,3045,45844
National,,,All,2012-13,201329,3051,46184
National,,,All,2012-13,201330,2871,46211
National,,,All,2012-13,201331,2938,46173
National,,,All,2012-13,201332,2986,46090
